"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu_B","0.349","0.084","0.272","0.293","0.321","0.364","0.547","1.584","5"
"sigmap_B","1.216","0.621","0.551","0.603","1.084","1.72","2.204","10.415","2"
"logit_int_Eu","-2.633","0.161","-2.924","-2.696","-2.645","-2.548","-2.341","1.484","6"
"logit_flow_Eu","-0.12","0.173","-0.489","-0.2","-0.162","-0.015","0.2","1.115","28"
"sigmap_Eu","0.687","0.38","0.307","0.367","0.599","0.901","1.412","5.67","2"
"p_B[1]","0.715","0.241","0.399","0.485","0.751","0.944","0.965","7.802","2"
"p_B[2]","0.22","0.132","0.084","0.091","0.172","0.344","0.383","19.731","2"
"p_B[3]","0.777","0.209","0.483","0.565","0.803","0.975","0.997","8.108","2"
"p_B[4]","0.401","0.056","0.319","0.351","0.417","0.428","0.5","3.879","2"
"p_B[5]","0.203","0.167","0.026","0.04","0.152","0.36","0.444","9.795","2"
"p_B[6]","0.218","0.102","0.14","0.146","0.174","0.229","0.446","3.052","3"
"p_B[7]","0.462","0.136","0.251","0.338","0.462","0.568","0.685","4.047","2"
"p_B[8]","0.348","0.062","0.287","0.309","0.337","0.36","0.5","1.417","7"
"p_B[9]","0.465","0.115","0.335","0.38","0.419","0.547","0.667","3.494","2"
"p_B[10]","0.319","0.17","0.124","0.22","0.277","0.384","0.658","1.033","27"
"p_B[11]","0.447","0.209","0.156","0.275","0.424","0.638","0.826","2.928","3"
"p_B[12]","0.498","0.11","0.393","0.424","0.466","0.53","0.798","2.984","3"
"p_B[13]","0.416","0.061","0.35","0.36","0.402","0.478","0.511","7.813","2"
"p_B[14]","0.351","0.252","0.075","0.202","0.271","0.385","0.919","1.116","24"
"p_B[15]","0.259","0.129","0.136","0.17","0.216","0.372","0.538","2.792","3"
"p_B[16]","0.497","0.248","0.118","0.323","0.497","0.674","0.914","3.581","2"
"p_B[17]","0.156","0.112","0.042","0.044","0.13","0.25","0.321","15.388","2"
"p_B[18]","0.625","0.072","0.546","0.576","0.598","0.681","0.782","2.653","3"
