##################################################################################################################################################		## Il s'agit ici des donn?es de surface ?quivalent radier-rapide (au 100m?) pour chaque station avec les stations en ligne et les ann?es en colonne.	## /!\ Si elles sont mises en m?,il y a des probl?mes de mise ? jour car sampling dans de trop petites valeurs																					
## VOIR RAPPORT SERVANTY & PREVOST (2016) POUR PLUS D'INFORMATIONS (NOTAMMENT TABLEAU 18, P.85)																								
## Mettre ? jour en reprenant les infos de la derni?re colonne																								
## /!\ Ne pas modifier l'ordre des lignes.																								
##################################################################################################################################################																								
## Ordre des stations:																								
#1	S1	Mon rivi?re																						
#2	S2	Min St Yves																						
#3	S3	Lomener																						
#4	S4	Gourdeau																						
#5	S5	Trou de gaz																						
#6	S6	Min Roch																						
#7	S7	Pt Kerlo aval																						
#8	S8	Pt Kerlo moyen																						
#9	S9	Pt Kerlo pisciculture																						
#10	S10	Fanguiguo																						
#11	S11	St Inifer																						
#12	S12	Kerl?gan																						
#13	S13	Min papier aval																						
#14	S14	Min papier																						
#15	S15	Stang aval																						
#16	S16	Min du Stang																						
#17	S17	Kervinel aval																						
#18	S18	Kervinel moyen																						
#19	S19	Kervinel amont																						
#20	S20	Pontulaire																						
#21	S21	Pontulaire amont																						
#22	S22	Maison foresti?re																						
#23	S23	Pt Neuf amont																						
#24	S24	Coat Cren																						
#25	S25	Coat Cren amont																						
#26	S26	Pt Callec aval																						
#27	S27	Pt Callec piscic.																						
#28	S28	Pt Callec amont																						
#29	S29	Coscodo																						
#30	S30	Locorion																						
#31	S31	Moulin neuf																						
#32	S32	Man?																						
#33	S33	Min Herv?no																						
#34	S34	Min Brodimont																						
#35	S35	Le Stume																						
#36	S36	St Connet																						
#37	S37	Min Penvern																						
#38	S38	Cabreno																						
#39	S39	Gu?m?n?																						
#40	SA82	Bras Pt Callec am.																						
#41	S40	Min ? tan																						
#42	S41	Tronscorff																						
#43	SA11	St Sauveur																						
#44	SA12	St Sauveur Moustoir																						
#45	SA23	Penlan_global																						
#46	SA32	Kernec_global																						
#47	SA41	Kerl?gan_global																						
#48	SA71	Pont Ar Belec amont																						
#49	SA72	Pont Ar Belec aval																						
#50	SA811	Reau Lignol																						
#51	SA83	Kerlautre																						
#52	SA812	Reau St Caradec																						
#53	SA812B	Reau St Caradec-FUTUR																						
##################################################################################################################################################																								
S_Sc[,1]	S_Sc[,2]	S_Sc[,3]	S_Sc[,4]	S_Sc[,5]	S_Sc[,6]	S_Sc[,7]	S_Sc[,8]	S_Sc[,9]	S_Sc[,10]	S_Sc[,11]	S_Sc[,12]	S_Sc[,13]	S_Sc[,14]	S_Sc[,15]	S_Sc[,16]	S_Sc[,17]	S_Sc[,18]	S_Sc[,19]	S_Sc[,20]	S_Sc[,21]	S_Sc[,22]	S_Sc[,23]	S_Sc[,24]	S_Sc[,25]	S_Sc[,26]	S_Sc[,27] S_Sc[,28]
45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682
45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	45.814	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682	43.0682
47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02
47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.18	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02	47.02
62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822
62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822
62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	62.31333333	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822	87.822
50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986
50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986
50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986
50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986
50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	50.564	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986	41.0986
109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667
109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667
109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	109.5833333	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667	82.21866667
42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175
42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175
42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175
42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	42.42	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175	33.56175
11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365
11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.96	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365	31.473365
38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	38.16	53.885	53.885	53.885	53.885	53.885	53.885	53.885	53.885	53.885	53.885	53.885
27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416
27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416
27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	27.31333333	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416	31.416
44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297
44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	44.735	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297	61.297
71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	71.15	53.292	53.292	53.292	53.292	53.292	53.292	53.292	53.292	53.292	53.292	53.292
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	42.98	0	0	0	0	0	0	0	0	42.98	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	42.98	0	0	0	0	0	0	0	0	42.98	0	0	0	0	0	0	0	0
36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37	36.37
24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42	24.42
34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85	34.85
0	0	0	0	0	0	0	0	0	0	0	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93
0	0	0	0	0	0	0	0	0	0	0	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93	47.93
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.7165	93.7165	93.7165	54.2765	54.2765	54.2765	54.2765	54.2765	54.2765
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.7165	93.7165	93.7165	54.2765	54.2765	54.2765	54.2765	54.2765	54.2765
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.44	39.44	39.44	39.44	39.44	39.44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.44	39.44	39.44	39.44	39.44	39.44
#END																								
